_id,strDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strInstructions,strIngList
461,Shark Attack,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/uv96zr1504793256.jpg,Pitcher,Lemonade,Water,Vodka,,,,,,,,,,1 can,3 cans,1 1/2 cup,,,,,,,,,,Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!,"[""Lemonade"", ""Water"", ""Vodka""]"
462,Sherry Eggnog,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xwrpsv1478820541.jpg,Collins glass,Sherry,Powdered Sugar,Egg,Milk,Nutmeg,,,,,,,,2 oz cream,1 tsp,1 whole,,,,,,,,,,"Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve.","[""Sherry"", ""Powdered Sugar"", ""Egg"", ""Milk"", ""Nutmeg""]"
463,Sherry Flip,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qrryvq1478820428.jpg,Whiskey sour glass,Sherry,Light Cream,Powdered Sugar,Egg,Nutmeg,,,,,,,,1 1/2 oz cream,2 tsp,1 tsp,1 whole,,,,,,,,,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,"[""Sherry"", ""Light Cream"", ""Powdered Sugar"", ""Egg"", ""Nutmeg""]"
464,Shot-gun,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/2j1m881503563583.jpg,Shot glass,Jim Beam,Jack Daniels,Wild Turkey,,,,,,,,,,1 part,1 part,1 oz,,,,,,,,,,Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.,"[""Jim Beam"", ""Jack Daniels"", ""Wild Turkey""]"
465,Sidecar,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/stwxuq1439906852.jpg,Cocktail glass,Cognac,Cointreau,Lemon Juice,,,,,,,,,,2 oz,1/2 oz,1 oz,,,,,,,,,,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.,"[""Cognac"", ""Cointreau"", ""Lemon Juice""]"
466,Sidecar Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ewjxui1504820428.jpg,Cocktail glass,Brandy,Triple Sec,Lemon,,,,,,,,,,1 oz,1/2 oz,Juice of 1/4,,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","[""Brandy"", ""Triple Sec"", ""Lemon""]"
467,Singapore Sling,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tvtrrt1439906288.jpg,Hurricane glass,Cherry Brandy,Grenadine,Gin,Sweet And Sour,Carbonated Water,Cherry,,,,,,,1/2 oz,1/2 oz,1 oz,2 oz,,,,,,,,,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.,"[""Cherry Brandy"", ""Grenadine"", ""Gin"", ""Sweet And Sour"", ""Carbonated Water"", ""Cherry""]"
468,Sloe Gin Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/d7mo481504889531.jpg,Cocktail glass,Sloe Gin,Dry Vermouth,Orange Bitters,,,,,,,,,,2 oz,1/4 tsp,1 dash,,,,,,,,,,"Stir all ingredients with ice, strain into a cocktail glass, and serve.","[""Sloe Gin"", ""Dry Vermouth"", ""Orange Bitters""]"
469,Smut,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/rx8k8e1504365812.jpg,Beer mug,Red Wine,Peach Schnapps,Pepsi Cola,Orange Juice,,,,,,,,,1/3 part,1 shot,1/3 part,1/3 part,,,,,,,,,Throw it all together and serve real cold.,"[""Red Wine"", ""Peach Schnapps"", ""Pepsi Cola"", ""Orange Juice""]"
470,Snake Bite (UK),Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/xuwpyu1441248734.jpg,Pint glass,Lager,Cider,,,,,,,,,,,1/2 pint,1/2 pint sweet or dry,,,,,,,,,,,Pour ingredients into a pint glass. Drink. Fall over.,"[""Lager"", ""Cider""]"
471,Snakebite and Black,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/rssvwv1441248863.jpg,Pint glass,Lager,Cider,Blackcurrant Squash,,,,,,,,,,1/2 pint,1/2 pint,A little bit of,,,,,,,,,,Put blackcurrant squash in first up to about 1cm in glass. Then add the larger and cider one after another.,"[""Lager"", ""Cider"", ""Blackcurrant Squash""]"
472,Snowball,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/7ibfs61504735416.jpg,Highball glass,Advocaat,Lemonade,Lemon,Ice,,,,,,,,,1 1/2 oz,8-10 oz cold,1 slice,cubes,,,,,,,,,Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.,"[""Advocaat"", ""Lemonade"", ""Lemon"", ""Ice""]"
473,Sol Y Sombra,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3gz2vw1503425983.jpg,Brandy snifter,Brandy,Anisette,,,,,,,,,,,1 1/2 oz,1 1/2 oz,,,,,,,,,,,"Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)","[""Brandy"", ""Anisette""]"
474,Space Odyssey,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vxtjbx1504817842.jpg,Highball glass,151 Proof Rum,Malibu Rum,Pineapple Juice,Orange Juice,Grenadine,Cherries,,,,,,,1 shot Bacardi,1 shot,1 shot,,,,,,,,,,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,"[""151 Proof Rum"", ""Malibu Rum"", ""Pineapple Juice"", ""Orange Juice"", ""Grenadine"", ""Cherries""]"
475,Spanish chocolate,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/pra8vt1487603054.jpg,Coffee mug,Milk,Chocolate,Cinnamon,Egg Yolk,,,,,,,,,2 cups,2 oz sweet,1/2 tsp,2 beaten,,,,,,,,,"Stir the milk with the chocolate and the cinnamon over low heat until the chocolate dissolves. Add the eggs and beat the mixture until it becomes thick, taking care not to boil. Serve in coffee mug.","[""Milk"", ""Chocolate"", ""Cinnamon"", ""Egg Yolk""]"
476,Spiced Peach Punch,Non alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/qxvypq1468924331.jpg,Collins Glass,Peach Nectar,Orange Juice,Brown Sugar,Cinnamon,Cloves,Lime Juice,,,,,,,46 oz,20 oz,1/2 cup,3 3-inch,1/2 tsp,2 tblsp,,,,,,,"Combine peach nectar, orange juice and brown sugar in a large saucepan. Tie cinnamon and cloves in a small cheesecloth bag. Drop into saucepan. Heat slowly, stirring constantly, until sugar dissolves. Simmer 10 minutes. Stir in lime juice. Serve in hot mugs.","[""Peach Nectar"", ""Orange Juice"", ""Brown Sugar"", ""Cinnamon"", ""Cloves"", ""Lime Juice""]"
477,Spiking coffee,Non alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/isql6y1487602375.jpg,Coffee mug,Coffee,Cinnamon,,,,,,,,,,,,,,,,,,,,,,,"Incidentally, a pinch of cinnamon is indeed a nice addition to coffee but true heaven is a cardamom seed. Of course, you serve it in a coffee mug.","[""Coffee"", ""Cinnamon""]"
478,Spritz,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/j9evx11504373665.jpg,Old-Fashioned glass,Prosecco,Campari,Soda Water,,,,,,,,,,6 cl,4 cl,splash,,,,,,,,,,"Build into glass over ice, garnish and serve.","[""Prosecco"", ""Campari"", ""Soda Water""]"
479,Stinger,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/2ahv791504352433.jpg,Cocktail glass,Brandy,White Creme De Menthe,,,,,,,,,,,1 1/2 oz,1/2 oz,,,,,,,,,,,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.","[""Brandy"", ""White Creme De Menthe""]"
480,Stone Sour,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vruvtp1472719895.jpg,Whiskey sour glass,Apricot Brandy,Orange Juice,Sweet And Sour,,,,,,,,,,1 oz,1 oz,1 oz,,,,,,,,,,"Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve.","[""Apricot Brandy"", ""Orange Juice"", ""Sweet And Sour""]"
481,Strawberry Daiquiri,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/deu59m1504736135.jpg,Cocktail glass,Strawberry Schnapps,Light Rum,Lime Juice,Powdered Sugar,Strawberries,,,,,,,,1/2 oz,1 oz,1 oz,1 tsp,1 oz,,,,,,,,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,"[""Strawberry Schnapps"", ""Light Rum"", ""Lime Juice"", ""Powdered Sugar"", ""Strawberries""]"
482,Strawberry Lemonade,Non alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/spvvxp1468924425.jpg,Collins Glass,Lemon,Sugar,Strawberries,Water,,,,,,,,,Juice of 1,1 tblsp,8-10 ripe,1 cup,,,,,,,,,Throw everything into a blender and mix until fairly smooth. Serve over ice.,"[""Lemon"", ""Sugar"", ""Strawberries"", ""Water""]"
483,Strawberry Margarita,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tqyrpw1439905311.jpg,Cocktail glass,Strawberry Schnapps,Tequila,Triple Sec,Lemon Juice,Strawberries,Salt,,,,,,,1/2 oz,1 oz,1/2 oz,1 oz,1 oz,,,,,,,,"Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve.","[""Strawberry Schnapps"", ""Tequila"", ""Triple Sec"", ""Lemon Juice"", ""Strawberries"", ""Salt""]"
484,Strawberry Shivers,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/9h1vvt1487603404.jpg,Highball glass,Strawberries,Honey,Water,,,,,,,,,,1 1/2 cup,4 tsp,1/2 cup,,,,,,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.","[""Strawberries"", ""Honey"", ""Water""]"
485,Sunny Holiday Punch,Optional alcohol,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/rywtwy1468924758.jpg,Punch bowl,Pineapple Juice,Club Soda,Orange Juice,Lemon,Berries,Champagne,,,,,,,46 oz chilled,28 oz,6 oz frozen,1,2 cups,1 bottle,,,,,,,Combine all ingredients in a punch bowl.,"[""Pineapple Juice"", ""Club Soda"", ""Orange Juice"", ""Lemon"", ""Berries"", ""Champagne""]"
486,Surf City Lifesaver,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/2rzfer1487602699.jpg,Highball glass,Ouzo,Bailey'S Irish Cream,Gin,Grand Marnier,,,,,,,,,1 part,1 part,2 parts,1/2 part,,,,,,,,,Lots of ice and soda top up in tall glass with cherry and a grin.,"[""Ouzo"", ""Bailey'S Irish Cream"", ""Gin"", ""Grand Marnier""]"
487,Swedish Coffee,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/ywtrvt1441246783.jpg,Coffee Mug,Coffee,Aquavit,Sugar,,,,,,,,,,1 cup,4 cl,By taste,,,,,,,,,,Pour the coffee in an ordinary coffee cup. Add the aquavit. Add sugar by taste. Stir and have a nice evening (morning),"[""Coffee"", ""Aquavit"", ""Sugar""]"
488,Sweet Bananas,Non alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/sxpcj71487603345.jpg,Highball Glass,Milk,Banana,Honey,,,,,,,,,,2 cups,1,1 tblsp,,,,,,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.","[""Milk"", ""Banana"", ""Honey""]"
489,Sweet Sangria,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/uqqvsp1468924228.jpg,Pitcher,Red Wine,Sugar,Water,Apple,Orange,Lime,Lemon,Fresca,,,,,2 bottles,1 cup,2 cups hot,1 cup,wedges,wedges,,,,,,,"Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw.","[""Red Wine"", ""Sugar"", ""Water"", ""Apple"", ""Orange"", ""Lime"", ""Lemon"", ""Fresca""]"
490,Sweet Tooth,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/j6rq6h1503563821.jpg,Highball Glass,Godiva Liqueur,Milk,,,,,,,,,,,2 shots,,,,,,,,,,,,"Put 2 shots Godiva Liquour into a glass, add as much or as little milk as you would like.","[""Godiva Liqueur"", ""Milk""]"
491,Talos Coffee,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/rswqpy1441246518.jpg,Brandy snifter,Grand Marnier,Coffee,,,,,,,,,,,3 parts,1 part,,,,,,,,,,,Add your GM and then add your coffee.,"[""Grand Marnier"", ""Coffee""]"
492,Tennesee Mud,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/txruqv1441245770.jpg,Coffee Mug,Coffee,Jack Daniels,Amaretto,Whipped Cream,,,,,,,,,8 oz,4 oz,4 oz,,,,,,,,,,"Mix Coffee, Jack Daniels and Amaretto. Add Cream on top.","[""Coffee"", ""Jack Daniels"", ""Amaretto"", ""Whipped Cream""]"
493,Tequila Fizz,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/2bcase1504889637.jpg,Collins glass,Tequila,Lemon Juice,Grenadine,Egg White,Ginger Ale,,,,,,,,2 oz,1 tblsp,3/4 oz,1,,,,,,,,,"Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve.","[""Tequila"", ""Lemon Juice"", ""Grenadine"", ""Egg White"", ""Ginger Ale""]"
494,Tequila Sour,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ek0mlq1504820601.jpg,Whiskey sour glass,Tequila,Lemon,Powdered Sugar,Lemon,Cherry,,,,,,,,2 oz,Juice of 1/2,1 tsp,1/2 slice,1,,,,,,,,"Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve.","[""Tequila"", ""Lemon"", ""Powdered Sugar"", ""Lemon"", ""Cherry""]"
495,Tequila Sunrise,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/quqyqp1480879103.jpg,Highball glass,Tequila,Orange Juice,Grenadine,,,,,,,,,,2 measures,,,,,,,,,,,,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.","[""Tequila"", ""Orange Juice"", ""Grenadine""]"
496,Tequila Surprise,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/8189p51504735581.jpg,Shot glass,Tequila,Tabasco Sauce,,,,,,,,,,,full glass,About 8 drops,,,,,,,,,,,Fill shot glass with Tequila. Add drops of Tobasco sauce.,"[""Tequila"", ""Tabasco Sauce""]"
497,Texas Rattlesnake,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rtohqp1504889750.jpg,Highball glass,Yukon Jack,Cherry Brandy,Southern Comfort,Sweet And Sour,,,,,,,,,1 part,1/2 part,1 part,1 splash,,,,,,,,,"Mix all ingredients and Shake well. Sweet at first, with a BITE at the end...","[""Yukon Jack"", ""Cherry Brandy"", ""Southern Comfort"", ""Sweet And Sour""]"
498,Texas Sling,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/ypl13s1504890158.jpg,Wine Glass,Kahlua,Irish Cream,Amaretto,151 Proof Rum,Cream,,,,,,,,1/2 oz,1/2 oz,1/2 oz,1/2 oz Bacardi,1 oz,,,,,,,,"Blend with Ice until smooth. Serve in a tulip glass, top with whip cream.","[""Kahlua"", ""Irish Cream"", ""Amaretto"", ""151 Proof Rum"", ""Cream""]"
499,Thai Coffee,Non alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/wquwxs1441247025.jpg,Highball glass,Coffee,Coriander,Cardamom,Sugar,Whipping Cream,Ice,,,,,,,6 tblsp ground,1/4 tsp,4-5 whole green,,,,,,,,,,"Place the coffee and spices in the filter cone of your coffee maker. Brew coffee as usual, let it cool. In a tall glass, dissolve 1 or 2 teaspoons of sugar in an ounce of the coffee (it's easier to dissolve than if you put it right over ice). Add 5-6 ice cubes and pour coffee to within about 1 inch of the top of the glass. Rest a spoon on top of the coffee and slowly pour whipping cream into the spoon. This will make the cream float on top of the coffee rather than dispersing into it right away.","[""Coffee"", ""Coriander"", ""Cardamom"", ""Sugar"", ""Whipping Cream"", ""Ice""]"
500,Thai Iced Coffee,Non alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/rqpypv1441245650.jpg,Highball glass,Coffee,Sugar,Cream,Cardamom,,,,,,,,,black,,pods,,,,,,,,,,"Prepare a pot of coffee at a good European strength. In the ground coffee, add 2 or 3 freshly ground cardamom pods. Sweeten while hot, then cool quickly. Serve in highball glass over ice, with cream. To get the layered effect, place a spoon atop the coffee and pour the milk carefully into the spoon so that it floats on the top of the coffee.","[""Coffee"", ""Sugar"", ""Cream"", ""Cardamom""]"
501,Thai Iced Tea,Non alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/trvwpu1441245568.jpg,Highball glass,Tea,Water,Condensed Milk,Ice,Mint,,,,,,,,1/4 cup Thai,1/2 cup boiling,2 tsp sweetened,cubes,,,,,,,,,"Combine Thai tea (i.e., the powder), boiling water, and sweetened condensed milk, stir until blended. Pour into 2 tall glasses filled with ice cubes. Garnish with mint leaves. Makes 2 servings.","[""Tea"", ""Water"", ""Condensed Milk"", ""Ice"", ""Mint""]"
502,The Evil Blue Thing,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/ojnpz71504793059.jpg,Old-fashioned glass,Creme De Cacao,Blue Curacao,Light Rum,,,,,,,,,,1 1/2 oz,1 oz,1/2 oz,,,,,,,,,,"Pour ingredients into glass, and drop in a blue whale! The blue whale isn't really necessary, but it makes the drink more ""fun"".","[""Creme De Cacao"", ""Blue Curacao"", ""Light Rum""]"
503,Thriller,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rvuswq1461867714.jpg,Cocktail glass,Scotch,Wine,Orange Juice,,,,,,,,,,1 1/2 oz,1 oz Green Ginger,1 oz,,,,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","[""Scotch"", ""Wine"", ""Orange Juice""]"
504,Tia-Maria,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/sih81u1504367097.jpg,Collins Glass,Water,Brown Sugar,Coffee,Rum,Vanilla Extract,,,,,,,,1 cup,3/4-1 cup,4 tsp,1 cup,4 tsp,,,,,,,,"Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using.","[""Water"", ""Brown Sugar"", ""Coffee"", ""Rum"", ""Vanilla Extract""]"
505,Tom Collins,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qystvv1439907682.jpg,Collins glass,Gin,Lemon Juice,Sugar,Club Soda,Maraschino Cherry,Orange,,,,,,,2 oz,1 oz,1 tsp superfine,3 oz,1,1,,,,,,,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice.","[""Gin"", ""Lemon Juice"", ""Sugar"", ""Club Soda"", ""Maraschino Cherry"", ""Orange""]"
506,Tomato Tang,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/869qr81487603278.jpg,Highball glass,Tomato Juice,Lemon Juice,Celery Salt,,,,,,,,,,2 cups,1-2 tblsp,1 dash,,,,,,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.","[""Tomato Juice"", ""Lemon Juice"", ""Celery Salt""]"
507,Tommy's Margarita,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/loezxn1504373874.jpg,Old-Fashioned glass,Tequila,Lime Juice,Agave Syrup,,,,,,,,,,4.5 cl,1.5 cl,2 spoons,,,,,,,,,,Shake and strain into a chilled cocktail glass.,"[""Tequila"", ""Lime Juice"", ""Agave Syrup""]"
508,Turf Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/utypqq1441554367.jpg,Cocktail glass,Dry Vermouth,Gin,Anis,Bitters,Orange Peel,,,,,,,,1 oz,1 oz,1/4 tsp,2 dashes,Twist of,,,,,,,,Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.,"[""Dry Vermouth"", ""Gin"", ""Anis"", ""Bitters"", ""Orange Peel""]"
509,Turkeyball,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rxurpr1441554292.jpg,Shot glass,Wild Turkey,Amaretto,Pineapple Juice,,,,,,,,,,1 oz,3/4 oz,1 splash,,,,,,,,,,Shake with ice and strain into a shot glass.,"[""Wild Turkey"", ""Amaretto"", ""Pineapple Juice""]"
510,Tuxedo Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/4u0nbl1504352551.jpg,Cocktail glass,Dry Vermouth,Gin,Maraschino Liqueur,Anis,Orange Bitters,Cherry,,,,,,,1 1/2 oz,1 1/2 oz,1/4 tsp,1/4 tsp,2 dashes,1,,,,,,,Stir all ingredients with ice and strain into a cocktail glass. Garnish with a cherry and a twist of lemon zest.,"[""Dry Vermouth"", ""Gin"", ""Maraschino Liqueur"", ""Anis"", ""Orange Bitters"", ""Cherry""]"
511,Valencia Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/9myuc11492975640.jpg,Cocktail glass,Apricot Brandy,Orange Juice,Orange Bitters,,,,,,,,,,1 1/2 oz,1 tblsp,2 dashes,,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","[""Apricot Brandy"", ""Orange Juice"", ""Orange Bitters""]"
512,Vampiro,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yfhn371504374246.jpg,Old-Fashioned glass,Tequila,Tomato Juice,Orange Juice,Lime Juice,Sugar Syrup,Salt,,,,,,,6 cl,3 cl,3 cl,1.5 cl,1 dash,1 pinch,,,,,,,"Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.","[""Tequila"", ""Tomato Juice"", ""Orange Juice"", ""Lime Juice"", ""Sugar Syrup"", ""Salt""]"
